customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,EstimatedCLV,ChurnReasonSegment,CampaignCostPerCustomer,_IsSimulated_CampaignCost,RecommendedCampaign,SimulatedConversionRate,_IsSimulated_ConversionRate,ChurnRiskScore
7590-VHVEG,Female,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,388.05000000000007,Sozlesme Esnekligi Ariyor,18,True,12 Aylik Sozlesmeye Gecis Indirimi (%15),0.28,True,0.7114020562823503
5575-GNVDE,Male,No,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,2572.9,Hizmet Memnuniyetsizligi,12,True,3 Ay Ucretsiz TechSupport + Fiber Bakim Kontrolu,0.22,True,0.0907749205380523
3668-QPYBK,Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,754.35,Sozlesme Esnekligi Ariyor,18,True,12 Aylik Sozlesmeye Gecis Indirimi (%15),0.28,True,0.7250951828265584
7795-CFOCW,Male,No,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,2348.35,Hizmet Memnuniyetsizligi,12,True,3 Ay Ucretsiz TechSupport + Fiber Bakim Kontrolu,0.22,True,0.0671334348295762
9237-HQITU,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1000.0500000000001,Hizmet Memnuniyetsizligi,12,True,3 Ay Ucretsiz TechSupport + Fiber Bakim Kontrolu,0.22,True,0.8432428542033228
9305-CDSKC,Female,No,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,2016.3000000000002,Fiyat Duyarli,15,True,"Sadakat Indirimi (%10, 6 ay)",0.24,True,0.9097442697843274
1452-KIOVK,Male,No,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,3018.6,Fiyat Duyarli,15,True,"Sadakat Indirimi (%10, 6 ay)",0.24,True,0.6922959953914186
6713-OKOMC,Female,No,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,658.9,Sozlesme Esnekligi Ariyor,18,True,12 Aylik Sozlesmeye Gecis Indirimi (%15),0.28,True,0.455839584782487
7892-POOKP,Female,No,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,4303.65,Fiyat Duyarli,15,True,"Sadakat Indirimi (%10, 6 ay)",0.24,True,0.7717039681401471
6388-TABGU,Male,No,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,4161.75,Hizmet Memnuniyetsizligi,12,True,3 Ay Ucretsiz TechSupport + Fiber Bakim Kontrolu,0.22,True,0.08402240259295389
9763-GRSKD,Male,No,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,1186.8500000000001,Guvenlik/Yedekleme Eksikligi,8,True,OnlineSecurity + OnlineBackup Paketi 1 Ay Ucretsiz Deneme,0.19,True,0.3852843445916507
7469-LKBCI,Male,No,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,554.2,Odeme Surtunmesi,5,True,Otomatik Odemeye Gecis Tesviki (ilk ay %5 indirim),0.15,True,0.0434348656885872
8091-TTVAX,Male,No,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,6885.3,Fiyat Duyarli,15,True,"Sadakat Indirimi (%10, 6 ay)",0.24,True,0.34272014039539045
0280-XJGEX,Male,No,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,6280.700000000001,Fiyat Duyarli,15,True,"Sadakat Indirimi (%10, 6 ay)",0.24,True,0.7236910298217808
5129-JLPIS,Male,No,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,3952.05,Fiyat Duyarli,15,True,"Sadakat Indirimi (%10, 6 ay)",0.24,True,0.6596292056127218
3655-SNQYZ,Female,No,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,9254.15,Fiyat Duyarli,15,True,"Sadakat Indirimi (%10, 6 ay)",0.24,True,0.10629466274956471
8191-XWSZG,Female,No,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,1270.75,Odeme Surtunmesi,5,True,Otomatik Odemeye Gecis Tesviki (ilk ay %5 indirim),0.15,True,0.03472573043890581
9959-WOFKT,Male,No,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,8662.65,Fiyat Duyarli,15,True,"Sadakat Indirimi (%10, 6 ay)",0.24,True,0.1729900889397435
